Location,Year,Number,Population,Rate
Manchester,2013,8,"2,563",312.1
Waldoboro,2015,16,"5,126",312.1
Union,2013,7,"2,248",311.4
Bowdoinham,2011,9,"2,897",310.7
Durham,2012,12,"3,863",310.6
Windsor,2012,8,"2,594",308.4
Palmyra,2017,6,"1,946",308.3
Durham,2014,12,"3,898",307.9
Raymond,2014,14,"4,548",307.8
Sidney,2013,13,"4,223",307.8
Parsonsfield,2018,6,"1,952",307.4
Union,2018,7,"2,300",304.3
Whitefield,2013,7,"2,309",303.2
Pittston,2012,8,"2,656",301.2
Whitefield,2016,7,"2,336",299.7
Blue Hill,2013,8,"2,676",299.0
North Yarmouth,2016,11,"3,716",296.0
York,2008,41,"13,865",295.7
Bristol,2018,8,"2,709",295.3
South Berwick,2009,21,"7,119",295.0
Richmond,2016,10,"3,395",294.6
Camden,2012,14,"4,757",294.3
Dayton,2018,6,"2,039",294.3
Mount Desert,2014,6,"2,046",293.3
Richmond,2011,10,"3,414",292.9
Bar Harbor,2015,15,"5,175",289.9
Kennebunk,2008,32,"11,105",288.2
Thomaston,2017,8,"2,778",288.0
Eliot,2014,18,"6,315",285.0
Kittery,2013,27,"9,483",284.7
Unity,2013,6,"2,118",283.3
Limington,2008,11,"3,898",282.2
Damariscotta,2012,6,"2,130",281.7
Damariscotta,2013,6,"2,130",281.7
New Gloucester,2013,16,"5,689",281.2
Waldoboro,2017,14,"4,978",281.2
Durham,2016,11,"3,916",280.9
Ellsworth,2018,22,"7,886",279.0
Lincolnville,2015,6,"2,166",277.0
Bowdoinham,2014,8,"2,890",276.8
North Yarmouth,2008,10,"3,637",275.0
Phippsburg,2009,6,"2,190",274.0
Phippsburg,2015,6,"2,198",273.0
Phippsburg,2011,6,"2,199",272.9
Orland,2018,6,"2,202",272.5
Bar Harbor,2014,14,"5,146",272.1
China,2016,12,"4,411",272.0
China,2017,12,"4,411",272.0
Oxford,2016,11,"4,044",272.0
Damariscotta,2010,6,"2,218",270.5
Eliot,2012,17,"6,288",270.4
Orland,2013,6,"2,229",269.2
Winthrop,2017,16,"5,947",269.0
Pittston,2015,7,"2,603",268.9
Pittston,2017,7,"2,611",268.1
Bar Harbor,2009,14,"5,239",267.2
Raymond,2017,12,"4,505",266.4
Rockport,2009,9,"3,386",265.8
Richmond,2014,9,"3,403",264.5
Wiscasset,2016,10,"3,781",264.5
West Gardiner,2008,8,"3,027",264.3
Searsport,2017,7,"2,650",264.2
Raymond,2013,12,"4,547",263.9
Bucksport,2014,13,"4,939",263.2
Chelsea,2016,7,"2,660",263.2
Whitefield,2009,6,"2,290",262.0
Woolwich,2017,8,"3,069",260.7
Limington,2014,10,"3,838",260.6
Whitefield,2015,6,"2,304",260.4
Whitefield,2012,6,"2,305",260.3
Pittston,2008,7,"2,699",259.4
Bristol,2011,7,"2,716",257.7
Standish,2013,26,"10,090",257.7
Shapleigh,2015,7,"2,726",256.8
Wells,2008,25,"9,742",256.6
Bowdoin,2017,8,"3,126",255.9
Windsor,2008,6,"2,350",255.3
Gray,2013,20,"7,928",252.3
Thomaston,2016,7,"2,778",252.0
Thomaston,2018,7,"2,778",252.0
Belgrade,2013,8,"3,177",251.8
Limington,2018,10,"3,974",251.6
Thomaston,2014,7,"2,791",250.8
Belgrade,2017,8,"3,195",250.4
Belgrade,2018,8,"3,195",250.4
Vassalboro,2016,11,"4,400",250.0
Camden,2015,12,"4,836",248.1
Gray,2017,20,"8,131",246.0
Gardiner,2016,14,"5,703",245.5
Gardiner,2017,14,"5,703",245.5
Oxford,2013,10,"4,090",244.5
Albion,2018,5,"2,050",243.9
Hollis,2018,11,"4,512",243.8
Monmouth,2014,10,"4,110",243.3
Bucksport,2012,12,"4,948",242.5
Bowdoinham,2010,7,"2,889",242.3
Jefferson,2017,6,"2,482",241.7
Rockport,2013,8,"3,313",241.5
Waldoboro,2016,12,"4,978",241.1
Turner,2016,14,"5,814",240.8
Rockport,2010,8,"3,330",240.2
Eliot,2008,15,"6,260",239.6
Poland,2017,13,"5,426",239.6
South Berwick,2008,17,"7,150",237.8
Sidney,2010,10,"4,208",237.6
Waldoboro,2014,12,"5,064",237.0
Limington,2013,9,"3,803",236.7
Eliot,2018,15,"6,352",236.1
Freeport,2018,19,"8,076",235.3
Freeport,2014,19,"8,077",235.2
Warren,2015,11,"4,696",234.2
Rockland,2015,17,"7,271",233.8
Manchester,2009,6,"2,567",233.7
Bar Harbor,2018,12,"5,148",233.1
Windsor,2010,6,"2,575",233.0
South Berwick,2011,17,"7,305",232.7
Holden,2016,7,"3,012",232.4
Holden,2017,7,"3,012",232.4
Readfield,2016,6,"2,583",232.3
Durham,2015,9,"3,885",231.7
Kittery,2009,22,"9,504",231.5
Kennebunk,2009,25,"10,822",231.0
Windsor,2016,6,"2,597",231.0
Belfast,2017,15,"6,516",230.2
Vassalboro,2011,10,"4,344",230.2
China,2012,10,"4,347",230.0
Warren,2018,11,"4,786",229.8
Alfred,2014,7,"3,061",228.7
Woolwich,2014,7,"3,063",228.5
Ellsworth,2017,18,"7,886",228.3
China,2013,10,"4,383",228.2
Eddington,2017,5,"2,195",227.8
Orland,2017,5,"2,202",227.1
Bowdoin,2012,7,"3,084",227.0
Searsport,2018,6,"2,650",226.4
Harpswell,2009,11,"4,860",226.3
Bowdoin,2014,7,"3,096",226.1
Phippsburg,2010,5,"2,216",225.6
Clinton,2016,8,"3,551",225.3
Hollis,2014,10,"4,445",225.0
Orland,2014,5,"2,222",225.0
Buxton,2009,18,"8,020",224.4
Lincolnville,2017,5,"2,229",224.3
Lincolnville,2018,5,"2,229",224.3
Cumberland,2008,17,"7,586",224.1
Bowdoin,2018,7,"3,126",223.9
North Yarmouth,2012,8,"3,593",222.7
Union,2014,5,"2,254",221.8
Hollis,2017,10,"4,512",221.6
Gray,2016,18,"8,131",221.4
Chelsea,2012,6,"2,711",221.3
Bucksport,2013,11,"4,984",220.7
Whitefield,2008,5,"2,267",220.6
Union,2015,5,"2,268",220.5
Orrington,2017,8,"3,677",217.6
Freeport,2012,17,"7,831",217.1
Thomaston,2011,6,"2,775",216.2
Harpswell,2016,10,"4,649",215.1
Camden,2018,10,"4,701",212.7
Cumberland,2014,16,"7,547",212.0
Madison,2017,10,"4,718",212.0
Warren,2009,10,"4,719",211.9
Winthrop,2009,13,"6,157",211.1
Bridgton,2017,11,"5,222",210.6
Gardiner,2018,12,"5,703",210.4
Warren,2012,10,"4,767",209.8
Farmingdale,2016,6,"2,865",209.4
Farmingdale,2017,6,"2,865",209.4
Farmingdale,2018,6,"2,865",209.4
Warren,2016,10,"4,786",208.9
Lebanon,2012,13,"6,225",208.8
Rockport,2018,7,"3,358",208.5
Casco,2012,8,"3,838",208.4
Hollis,2011,9,"4,319",208.4
Vassalboro,2015,9,"4,328",207.9
Winthrop,2015,12,"5,803",206.8
York,2014,26,"12,607",206.2
Vassalboro,2012,9,"4,368",206.0
Jefferson,2012,5,"2,434",205.4
Kennebunkport,2018,7,"3,408",205.4
Bowdoinham,2015,6,"2,934",204.5
Bucksport,2015,10,"4,892",204.4
Hancock,2016,5,"2,447",204.3
Windham,2016,37,"18,120",204.2
Kennebunkport,2008,8,"3,930",203.6
Buxton,2016,17,"8,366",203.2
Bucksport,2011,10,"4,925",203.0
Cumberland,2013,15,"7,407",202.5
Winthrop,2014,12,"5,931",202.3
Kennebunkport,2011,7,"3,462",202.2
Woolwich,2008,6,"2,968",202.2
Limerick,2013,6,"2,972",201.9
Kennebunkport,2015,7,"3,470",201.7
Jefferson,2018,5,"2,482",201.5
Limington,2017,8,"3,974",201.3
Freeport,2009,16,"7,957",201.1
Raymond,2011,9,"4,485",200.7
Norway,2017,10,"4,989",200.4
Norway,2018,10,"4,989",200.4
Kittery,2010,19,"9,490",200.2
Gray,2014,16,"8,002",200.0
Falmouth,2014,23,"11,536",199.4
Acton,2015,5,"2,518",198.6
New Gloucester,2011,11,"5,569",197.5
Alfred,2011,6,"3,043",197.2
Fairfield,2017,13,"6,593",197.2
Falmouth,2012,22,"11,159",197.2
Mount Desert,2012,4,"2,035",196.6
Cumberland,2015,15,"7,657",195.9
Readfield,2008,5,"2,555",195.7
Windham,2013,34,"17,400",195.4
Acton,2017,5,"2,562",195.2
Lebanon,2013,12,"6,153",195.0
Bowdoin,2011,6,"3,078",194.9
Bowdoin,2013,6,"3,079",194.9
Harpswell,2017,9,"4,649",193.6
Windham,2014,34,"17,565",193.6
Freeport,2008,16,"8,270",193.5
Machias,2015,4,"2,067",193.5
Saint George,2014,5,"2,584",193.5
Readfield,2009,5,"2,588",193.2
Dayton,2015,4,"2,075",192.8
Readfield,2014,5,"2,595",192.7
Sidney,2009,8,"4,151",192.7
Windsor,2013,5,"2,597",192.5
Windsor,2018,5,"2,597",192.5
Camden,2014,9,"4,679",192.3
Windsor,2014,5,"2,601",192.2
Pittston,2018,5,"2,611",191.5
Readfield,2011,5,"2,612",191.4
Cumberland,2009,14,"7,327",191.1
Pittston,2014,5,"2,626",190.4
Turner,2012,11,"5,780",190.3
South Berwick,2014,14,"7,374",189.9
Belgrade,2015,6,"3,161",189.8
Yarmouth,2018,16,"8,443",189.5
Kittery,2015,18,"9,506",189.4
Warren,2010,9,"4,751",189.4
Warren,2013,9,"4,756",189.2
Searsport,2016,5,"2,650",188.7
Limington,2010,7,"3,713",188.5
New Gloucester,2017,11,"5,840",188.4
South Berwick,2015,14,"7,433",188.3
Warren,2011,9,"4,779",188.3
Chelsea,2015,5,"2,658",188.1
Chelsea,2018,5,"2,660",188.0
Freeport,2015,15,"7,995",187.6
Cape Elizabeth,2014,17,"9,088",187.1
Hollis,2009,8,"4,306",185.8
Sidney,2016,8,"4,311",185.6
Wells,2014,18,"9,714",185.3
Limington,2012,7,"3,779",185.2
Unity,2018,4,"2,162",185.0
Unity,2015,4,"2,163",184.9
Poland,2014,10,"5,418",184.6
Lincolnville,2012,4,"2,173",184.1
Berwick,2013,14,"7,639",183.3
Durham,2011,7,"3,832",182.7
Harrison,2013,5,"2,738",182.6
Norway,2014,9,"4,933",182.4
Eddington,2018,4,"2,195",182.2
Shapleigh,2018,5,"2,747",182.0
Harrison,2016,5,"2,751",181.8
Vassalboro,2018,8,"4,400",181.8
Bristol,2009,5,"2,759",181.2
Standish,2011,18,"9,946",181.0
Casco,2014,7,"3,870",180.9
Chelsea,2008,5,"2,771",180.4
Durham,2013,7,"3,882",180.3
Kittery,2014,17,"9,446",180.0
Thomaston,2013,5,"2,783",179.7
Norridgewock,2017,6,"3,351",179.1
Vassalboro,2008,8,"4,472",178.9
Durham,2017,7,"3,916",178.8
Rockport,2016,6,"3,358",178.7
Canaan,2018,4,"2,240",178.6
Yarmouth,2016,15,"8,443",177.7
Naples,2013,7,"3,942",177.6
Rockland,2011,13,"7,325",177.5
Cumberland,2011,13,"7,351",176.8
Waldoboro,2009,9,"5,091",176.8
Arundel,2009,7,"3,970",176.3
New Gloucester,2014,10,"5,677",176.1
Rockland,2008,13,"7,385",176.0
Carmel,2016,5,"2,851",175.4
Arundel,2008,7,"3,993",175.3
Gardiner,2013,10,"5,717",174.9
Kennebunk,2014,19,"10,876",174.7
Eliot,2013,11,"6,302",174.5
Hollis,2015,8,"4,592",174.2
Whitefield,2014,4,"2,296",174.2
Eliot,2015,11,"6,318",174.1
Leeds,2016,4,"2,298",174.1
Buxton,2011,14,"8,056",173.8
Freeport,2016,14,"8,076",173.4
Naples,2018,7,"4,040",173.3
Eliot,2016,11,"6,352",173.2
Gray,2015,14,"8,085",173.2
West Gardiner,2013,6,"3,465",173.2
Oxford,2018,7,"4,044",173.1
North Berwick,2014,8,"4,623",173.0
Limerick,2010,5,"2,892",172.9
Kennebunkport,2010,6,"3,474",172.7
Hallowell,2013,4,"2,319",172.5
Bar Harbor,2010,9,"5,235",171.9
Hallowell,2012,4,"2,329",171.7
Gorham,2008,27,"15,738",171.6
Topsham,2012,15,"8,745",171.5
New Gloucester,2016,10,"5,840",171.2
New Gloucester,2018,10,"5,840",171.2
Camden,2008,9,"5,259",171.1
Monmouth,2015,7,"4,102",170.6
Farmingdale,2015,5,"2,933",170.5
West Gardiner,2018,6,"3,521",170.4
Falmouth,2009,19,"11,198",169.7
Falmouth,2011,19,"11,221",169.3
Monmouth,2012,7,"4,140",169.1
Topsham,2018,15,"8,870",169.1
Clinton,2017,6,"3,551",169.0
Cumberland,2018,13,"7,708",168.7
Thomaston,2009,5,"2,976",168.0
Poland,2012,9,"5,398",166.7
Gorham,2018,29,"17,431",166.4
South Berwick,2010,12,"7,220",166.2
Limerick,2015,5,"3,011",166.1
Ellsworth,2015,13,"7,835",165.9
Poland,2016,9,"5,426",165.9
Litchfield,2010,6,"3,624",165.6
Windham,2017,30,"18,120",165.6
Gorham,2014,28,"16,954",165.2
Camden,2010,8,"4,850",164.9
Hampden,2016,12,"7,287",164.7
Hampden,2017,12,"7,287",164.7
Limerick,2016,5,"3,044",164.3
Windham,2009,28,"17,061",164.1
Holden,2015,5,"3,048",164.0
South Berwick,2012,12,"7,319",164.0
Bucksport,2016,8,"4,885",163.8
Bucksport,2018,8,"4,885",163.8
Sabattus,2017,8,"4,895",163.4
Bowdoin,2010,5,"3,061",163.3
Orrington,2018,6,"3,677",163.2
Woolwich,2011,5,"3,066",163.1
Jefferson,2015,4,"2,462",162.5
Alfred,2017,5,"3,081",162.3
Litchfield,2016,6,"3,703",162.0
Boothbay,2013,5,"3,092",161.7
Norway,2013,8,"4,946",161.7
Boothbay,2012,5,"3,094",161.6
China,2014,7,"4,335",161.5
Vassalboro,2010,7,"4,340",161.3
Eliot,2010,10,"6,204",161.2
Windsor,2009,4,"2,486",160.9
Vassalboro,2014,7,"4,353",160.8
Casco,2009,6,"3,745",160.2
Acton,2013,4,"2,500",160.0
Bowdoin,2015,5,"3,129",159.8
Limington,2009,6,"3,754",159.8
Raymond,2010,7,"4,436",157.8
Eliot,2017,10,"6,352",157.4
Gorham,2011,26,"16,520",157.4
Kennebunk,2010,17,"10,798",157.4
Berwick,2008,12,"7,630",157.3
Yarmouth,2009,13,"8,277",157.1
Casco,2013,6,"3,824",156.9
Waldoboro,2012,8,"5,116",156.4
Casco,2015,6,"3,851",155.8
Cumberland,2016,12,"7,708",155.7
Cumberland,2017,12,"7,708",155.7
Windsor,2015,4,"2,577",155.2
Hollis,2016,7,"4,512",155.1
Windsor,2011,4,"2,583",154.9
Yarmouth,2013,13,"8,393",154.9
Raymond,2015,7,"4,522",154.8
Turner,2017,9,"5,814",154.8
Belgrade,2009,5,"3,235",154.6
Saint George,2010,4,"2,591",154.4
Manchester,2011,4,"2,594",154.2
Bar Harbor,2011,8,"5,209",153.6
Belfast,2011,10,"6,516",153.5
Belfast,2016,10,"6,516",153.5
Casco,2016,6,"3,909",153.5
Bar Harbor,2012,8,"5,220",153.3
Bridgton,2018,8,"5,222",153.2
Durham,2018,6,"3,916",153.2
Pittston,2016,4,"2,611",153.2
Augusta,2017,28,"18,367",152.4
North Berwick,2011,7,"4,606",152.0
North Berwick,2013,7,"4,610",151.8
North Berwick,2015,7,"4,614",151.7
York,2010,19,"12,529",151.6
Minot,2016,4,"2,642",151.4
Winthrop,2018,9,"5,947",151.3
Belfast,2015,9,"5,955",151.1
Freeport,2013,12,"7,955",150.8
York,2012,19,"12,597",150.8
Windham,2015,27,"17,929",150.6
Chelsea,2017,4,"2,660",150.4
North Berwick,2018,7,"4,657",150.3
Naples,2015,6,"4,003",149.9
Falmouth,2016,17,"11,358",149.7
Saint Albans,2017,3,"2,006",149.6
Saint Albans,2018,3,"2,006",149.6
West Gardiner,2009,5,"3,342",149.6
Blue Hill,2012,4,"2,678",149.4
Dayton,2009,3,"2,010",149.3
Shapleigh,2012,4,"2,690",148.7
Sidney,2008,6,"4,046",148.3
Buxton,2012,12,"8,104",148.1
Mount Desert,2011,3,"2,029",147.9
Jay,2017,7,"4,735",147.8
Bristol,2012,4,"2,708",147.7
Bristol,2017,4,"2,709",147.7
Camden,2013,7,"4,743",147.6
Gray,2018,12,"8,131",147.6
Boothbay Harbor,2016,3,"2,034",147.5
Boothbay Harbor,2017,3,"2,034",147.5
Boothbay Harbor,2018,3,"2,034",147.5
Monmouth,2017,6,"4,067",147.5
Albion,2015,3,"2,035",147.4
Richmond,2009,5,"3,394",147.3
Richmond,2018,5,"3,395",147.3
Wells,2011,14,"9,548",146.6
Benton,2018,4,"2,731",146.5
Gorham,2010,24,"16,381",146.5
Mount Desert,2013,3,"2,048",146.5
Wells,2009,14,"9,559",146.5
Kittery,2016,14,"9,563",146.4
Richmond,2012,5,"3,417",146.3
Shapleigh,2016,4,"2,747",145.6
Shapleigh,2017,4,"2,747",145.6
Windham,2011,25,"17,173",145.6
Harrison,2018,4,"2,751",145.4
Falmouth,2008,16,"11,021",145.2
Windham,2012,25,"17,226",145.1
Machias,2018,3,"2,069",145.0
Kennebunkport,2012,5,"3,454",144.8
Gorham,2012,24,"16,584",144.7
Livermore,2013,3,"2,079",144.3
Yarmouth,2012,12,"8,319",144.2
Livermore,2018,3,"2,084",144.0
Thomaston,2010,4,"2,781",143.8
Boothbay Harbor,2014,3,"2,088",143.7
West Gardiner,2012,5,"3,479",143.7
Thomaston,2012,4,"2,785",143.6
New Gloucester,2008,8,"5,592",143.1
Gorham,2013,24,"16,789",143.0
York,2011,18,"12,608",142.8
Winthrop,2008,9,"6,319",142.4
Yarmouth,2014,12,"8,434",142.3
Damariscotta,2009,3,"2,111",142.1
Gray,2010,11,"7,761",141.7
Sidney,2015,6,"4,236",141.6
Kennebunkport,2009,5,"3,533",141.5
Waldoboro,2018,7,"4,978",140.6
Waterboro,2011,11,"7,827",140.5
Lebanon,2017,9,"6,414",140.3
North Yarmouth,2010,5,"3,565",140.3
Standish,2012,14,"10,058",139.2
Farmingdale,2008,4,"2,880",138.9
Rockland,2016,10,"7,202",138.9
Alfred,2008,4,"2,882",138.8
Unity,2016,3,"2,162",138.8
Cumberland,2010,10,"7,211",138.7
Waldoboro,2013,7,"5,058",138.4
Belfast,2018,9,"6,516",138.1
New Gloucester,2015,8,"5,791",138.1
Topsham,2013,12,"8,697",138.0
Gardiner,2010,8,"5,800",137.9
Waldoboro,2010,7,"5,075",137.9
Gorham,2017,24,"17,431",137.7
Waldoboro,2011,7,"5,086",137.6
Greene,2016,6,"4,365",137.5
China,2015,6,"4,369",137.3
Hollis,2012,6,"4,373",137.2
Topsham,2015,12,"8,756",137.0
Damariscotta,2011,3,"2,192",136.9
Kittery,2012,13,"9,496",136.9
Lincolnville,2014,3,"2,193",136.8
Litchfield,2013,5,"3,656",136.8
Phippsburg,2014,3,"2,194",136.7
Farmingdale,2009,4,"2,932",136.4
Paris,2018,7,"5,137",136.3
Augusta,2016,25,"18,367",136.1
Limerick,2011,4,"2,938",136.1
Phippsburg,2012,3,"2,204",136.1
South Berwick,2013,10,"7,347",136.1
Vassalboro,2009,6,"4,410",136.1
Brunswick,2014,28,"20,600",135.9
Kittery,2017,13,"9,563",135.9
Orrington,2014,5,"3,680",135.9
Orrington,2015,5,"3,682",135.8
Hollis,2013,6,"4,425",135.6
Farmingdale,2010,4,"2,956",135.3
Topsham,2016,12,"8,870",135.3
Buxton,2013,11,"8,138",135.2
Limerick,2012,4,"2,959",135.2
Bowdoinham,2018,4,"2,961",135.1
Litchfield,2018,5,"3,703",135.0
Wiscasset,2015,5,"3,709",134.8
Waterboro,2016,11,"8,200",134.1
Berwick,2012,10,"7,464",134.0
Lebanon,2009,8,"5,978",133.8
Augusta,2013,25,"18,711",133.6
Casco,2010,5,"3,742",133.6
Wiscasset,2009,5,"3,746",133.5
Bar Harbor,2013,7,"5,247",133.4
Lisbon,2016,12,"8,993",133.4
Lisbon,2017,12,"8,993",133.4
Wiscasset,2008,5,"3,750",133.3
Lincolnville,2009,3,"2,252",133.2
Winthrop,2011,8,"6,007",133.2
Woolwich,2009,4,"3,003",133.2
Canaan,2013,3,"2,261",132.7
Limington,2011,5,"3,778",132.3
Standish,2008,13,"9,828",132.3
Raymond,2012,6,"4,540",132.2
Union,2009,3,"2,270",132.2
Falmouth,2018,15,"11,358",132.1
Winslow,2018,10,"7,595",131.7
Holden,2013,4,"3,044",131.4
Limerick,2017,4,"3,044",131.4
Naples,2009,5,"3,804",131.4
Gardiner,2008,8,"6,093",131.3
Boothbay,2015,4,"3,052",131.1
Mechanic Falls,2012,4,"3,063",130.6
Augusta,2015,24,"18,424",130.3
